,opinion,opinion_tri,opinion_bin,opinion_abs,babysitter,cdmx,constant,edad,edad_sq,hijos,hijos_bin,hijos_prim,hijos_prim_o_secu,hijos_secu,hijos_x_babysitter,hijos_x_prim_o_secu,imss,internet,mujer,pcs,publica,ratio_imss_resid,ratio_imss_trab,ratio_pcs_hijos,ratio_pcs_resid,ratio_trab_resid,ratio_tvs_resid,residentes,trabajadores,transporte,tvs,vacunado,vulnerable,wfh
141,1.0,0.0,0.0,0.0,1.0,Xochimilco,1,30.0,900.0,2.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.14285714285714285,0.25,3.0,0.42857142857142855,0.5714285714285714,0.42857142857142855,7.0,4.0,0.0,3.0,1.0,0.0,1.0
142,3.0,2.0,1.0,1.0,0.0,Coyoacán,1,28.0,784.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.5,0.5,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,1.0,0.0,0.0
144,3.0,2.0,1.0,1.0,0.0,Cuajimalpa,1,27.0,729.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
146,1.0,0.0,0.0,0.0,0.0,Iztapalapa,1,69.0,4761.0,3.0,1,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.6666666666666666,3.0,3.0,1.0,2.0,1.0,1.0,1.0
147,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,22.0,484.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,3.0,2.0,0.0,2.0,1.0,0.0,1.0
148,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,22.0,484.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.5,1.5,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,6.0,2.0,0.0,1.0,1.0,1.0,1.0
150,3.0,2.0,1.0,1.0,0.0,Iztapalapa,1,23.0,529.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.14285714285714285,0.16666666666666666,0.0,0.42857142857142855,0.8571428571428571,0.8571428571428571,7.0,6.0,0.0,6.0,1.0,1.0,0.0
153,4.0,2.0,1.0,1.0,1.0,Xochimilco,1,52.0,2704.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.25,1.0,3.0,0.75,0.25,0.75,4.0,1.0,1.0,3.0,1.0,1.0,1.0
156,3.0,2.0,1.0,1.0,0.0,Benito Juárez,1,32.0,1024.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,2.0,2.0,0.0,1.0,1.0,0.0,1.0
157,3.0,2.0,1.0,1.0,1.0,Iztapalapa,1,39.0,1521.0,2.0,1,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.4,1.0,3.0,0.6,0.4,0.4,5.0,2.0,1.0,2.0,0.0,0.0,1.0
